Courses,Drop Deadline,Post 1,Post 1 By,Comment 1,Comment 1 By,,Post No,Comment No
CSE583,11/21/2019,Homework 1 for CSE583?,rr8243@nittany.edu,I also have the same question.,mb1688@nittany.edu,,1,1
CSE543,11/21/2019,,,,,,,
CMPSC431W,11/21/2019,Exam for CMPSC431W?,ld4137@nittany.edu,Do we have an exam?,jz5577@nittany.edu,,1,1
CMPSC461,11/21/2019,,,,,,,
CMPSC465,11/21/2019,Homework 1 for CMPSC465?,dm4287@nittany.edu,I also have the same question.,my3786@nittany.edu,,1,1
CMPSC448,11/21/2019,,,,,,,
CMPSC475,11/21/2019,Exam for CMPSC475?,fs1546@nittany.edu,Do we have an exam?,tb8127@nittany.edu,,1,1
CMPSC497,11/21/2019,,,,,,,
CMPSC131,11/21/2019,Homework 1 for CMPSC131?,jr8665@nittany.edu,I also have the same question.,mo2344@nittany.edu,,1,1
CMPSC132,11/21/2019,,,,,,,
CMPSC221,11/21/2019,Exam for CMPSC221?,cg4965@nittany.edu,Do we have an exam?,gk3247@nittany.edu,,1,1
CMPSC360,11/21/2019,,,,,,,
CMPSC311,11/21/2019,Homework 1 for CMPSC311?,mf6881@nittany.edu,I also have the same question.,ms6173@nittany.edu,,1,1
CMPEN270,11/21/2019,,,,,,,
CMPEN331,11/21/2019,Exam for CMPEN331?,ih9335@nittany.edu,Do we have an exam?,dw8054@nittany.edu,,1,1
CMPEN351,11/21/2019,,,,,,,
CMPEN362,11/21/2019,Homework 1 for CMPEN362?,pb8346@nittany.edu,I also have the same question.,er2818@nittany.edu,,1,1
CMPEN411,11/21/2019,,,,,,,
CMPEN431,11/21/2019,Exam for CMPEN431?,lh7203@nittany.edu,Do we have an exam?,dc5453@nittany.edu,,1,1
CMPEN441,11/21/2019,,,,,,,
CMPEN454,11/21/2019,Homework 1 for CMPEN454?,nb5135@nittany.edu,I also have the same question.,bk5477@nittany.edu,,1,1
EE210,11/21/2019,,,,,,,
EE211,11/21/2019,Exam for EE211?,mc9149@nittany.edu,Do we have an exam?,mr1020@nittany.edu,,1,1
EE212,11/21/2019,,,,,,,
EE311,11/21/2019,Homework 1 for EE311?,sn9491@nittany.edu,I also have the same question.,rt4621@nittany.edu,,1,1
EE320,11/21/2019,,,,,,,
EE330,11/21/2019,Exam for EE330?,lb6520@nittany.edu,Do we have an exam?,bl3745@nittany.edu,,1,1
EE340,11/21/2019,,,,,,,
EE352,11/21/2019,Homework 1 for EE352?,js8165@nittany.edu,I also have the same question.,ej3628@nittany.edu,,1,1
EE353,11/21/2019,,,,,,,
MATH140,11/21/2019,Exam for MATH140?,lk7361@nittany.edu,Do we have an exam?,md6611@nittany.edu,,1,1
MATH141,11/21/2019,,,,,,,
MATH230,11/21/2019,Homework 1 for MATH230?,af8503@nittany.edu,I also have the same question.,ak5890@nittany.edu,,1,1
MATH231,11/21/2019,,,,,,,
PHYS211,11/21/2019,Exam for PHYS211?,lt8326@nittany.edu,Do we have an exam?,cd4187@nittany.edu,,1,1
PHYS212,11/21/2019,,,,,,,
PHYS213,11/21/2019,Homework 1 for PHYS213?,fb4575@nittany.edu,I also have the same question.,eh3966@nittany.edu,,1,1
PHYS214,11/21/2019,,,,,,,
STAT318,11/21/2019,Exam for STAT318?,ca5845@nittany.edu,Do we have an exam?,la7071@nittany.edu,,1,1
STAT319,11/21/2019,,,,,,,
STAT414,11/21/2019,Homework 1 for STAT414?,ds8193@nittany.edu,I also have the same question.,ak1365@nittany.edu,,1,1
STAT415,11/21/2019,,,,,,,
ECON101,11/21/2019,Exam for ECON101?,sg4622@nittany.edu,Do we have an exam?,dw2632@nittany.edu,,1,1
ECON102,11/21/2019,,,,,,,
ECON201,11/21/2019,Homework 1 for ECON201?,sg9224@nittany.edu,I also have the same question.,aw5441@nittany.edu,,1,1
CHEM110,11/21/2019,,,,,,,
CHEM111,11/21/2019,Exam for CHEM111?,mj2446@nittany.edu,Do we have an exam?,lm1111@nittany.edu,,1,1
CHEM112,11/21/2019,,,,,,,
IST110,11/21/2019,Homework 1 for IST110?,dl4708@nittany.edu,I also have the same question.,ah4627@nittany.edu,,1,1
IST558,11/21/2019,,,,,,,
IST128,11/21/2019,Exam for IST128?,mg8599@nittany.edu,Do we have an exam?,er6539@nittany.edu,,1,1
DS220,11/21/2019,,,,,,,
DS120,11/21/2019,Homework 1 for DS120?,rh2046@nittany.edu,I also have the same question.,js8078@nittany.edu,,1,1
DS410,11/21/2019,,,,,,,
MATH230,11/22/2019,test,aa,aa,aa,aa,2,1
MATH230,11/23/2019,,,bb,bb,bb,2,2
